"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - SABESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Empréstimos e Financiamentos PC,1.523.541,1.488.194,2.103.612,2.104.480,1.968.966,1.876.775,1.746.755,1.388.013,1.342.046,1.444.967,1.246.567,1.714.327,1.595.718,1.474.032,1.526.262,973.726,859.871,1.378.233,1.207.126,710.373,637.898,620.654,640.940,705.971,766.323,839.160,1.367.391,1.316.504,1.325.346,999.570,1.630.010,1.029.274,1.008.000,1.276.352,1.242.143,1.162.844,1.412.001,955.811,1.010.537,1.619.417,1.614.312,1.289.791
Passivos com Partes Relacionadas PC,2.423,680,8.694,1.402,1.402,1.402,1.367,881,492,1.306,1.853,1.431,1.657,1.698,2.210,1.544,2.423,1.288,1.569,1.477,1.395,1.692,1.791,1.772,2.466,951,958,1.231,3.967,20.681,12.062,9.893,11.712,11.460,11.395,0,0,0,0,0,0,0
Dividendos e JCP a Pagar PC,573,673.744,673.765,436,436,598.612,598.612,276,276,700.034,700.034,99,103,127.441,127.441,81,126.887,214.523,214.523,64,32.458,456.975,456.975,130,151,414.328,414.355,142,142,247.486,247.486,92,110,354.272,354.254,0,0,0,0,0,0,0
Outros PC,1.162.295,1.101.631,922.788,765.205,731.010,836.180,700.202,665.768,736.149,685.045,684.704,603.457,632.003,816.045,749.084,699.820,627.069,694.515,646.644,579.845,577.948,690.719,535.942,594.060,701.108,760.909,731.401,868.365,771.879,527.797,634.485,538.021,562.281,642.446,583.159,829.518,737.269,1.001.444,1.040.864,891.193,910.346,938.934
Provisões PC,487.043,504.394,458.387,509.687,571.680,584.948,607.959,658.621,726.971,712.963,730.334,721.229,676.349,658.499,631.890,617.185,597.144,601.926,625.092,565.622,549.285,531.231,631.374,610.864,594.456,722.228,565.083,644.538,691.117,926.304,764.070,726.941,737.846,780.801,766.603,759.000,713.318,712.270,643.863,604.542,471.755,492.092
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Não Circulante,18.941.032,18.239.703,18.614.798,18.975.023,18.493.911,17.623.448,17.261.556,17.385.404,16.959.504,16.835.468,17.023.316,15.878.892,15.439.952,15.668.976,16.249.692,16.107.787,14.290.019,14.429.596,13.570.461,13.369.742,12.863.272,12.414.327,12.371.112,12.335.261,12.246.014,11.856.618,11.162.846,10.922.763,10.910.212,10.966.124,10.700.420,11.248.666,10.594.651,10.577.227,10.162.670,9.672.942,9.345.981,8.895.826,7.927.670,6.230.203,6.427.523,6.977.095
Empréstimos e Financiamentos PNC,11.382.733,10.692.566,11.049.184,11.622.488,11.217.280,10.605.701,10.354.211,10.499.758,10.282.765,10.296.502,10.717.576,10.274.629,10.191.065,10.719.144,11.595.338,11.659.836,10.231.564,10.468.794,9.578.641,9.581.700,9.180.826,8.753.292,8.809.134,8.379.212,8.260.155,7.990.403,7.701.929,7.269.624,7.244.394,7.295.715,6.966.285,7.646.626,7.105.863,7.207.142,7.022.472,6.495.615,6.018.744,5.608.213,5.549.463,4.454.701,4.850.915,5.384.714
Passivos com Partes Relacionadas PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros PNC,6.869.552,6.886.552,6.869.897,6.835.084,6.755.283,6.549.451,6.400.345,6.442.485,6.213.069,6.066.120,5.862.998,5.167.676,4.774.792,4.456.103,4.204.030,4.058.440,3.679.621,3.458.986,3.396.565,3.171.837,3.079.480,3.098.078,3.012.970,3.396.421,3.369.698,3.328.759,2.836.843,2.941.422,2.939.156,2.932.579,2.926.376,2.792.950,2.711.510,2.670.257,2.446.971,2.534.259,2.474.542,2.416.161,1.553.250,1.033.790,922.500,914.449
