"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - CSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/09/2019,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009
Obrigações Sociais e Trabalhistas PC,349.583,291.714,261.717,248.185,315.445,264.689,233.216,252.418,296.167,294.273,251.521,253.837,286.640,261.743,245.177,256.840,282.006,236.138,214.427,219.740,253.595,217.614,195.975,208.921,240.161,204.729,191.818,241.291,272.449,231.295,202.128,202.469,234.937,196.946,164.643,164.799,0,0,0,0,0,0
Fornecedores PC,3.268.951,3.493.753,3.228.213,3.473.822,2.933.989,3.226.249,3.077.448,2.460.774,2.249.151,2.077.763,1.934.358,1.763.206,1.580.180,1.194.942,1.235.417,1.293.008,1.723.865,1.761.657,1.555.728,1.638.505,1.469.748,1.531.076,1.340.116,1.102.037,1.218.197,1.704.287,1.827.730,1.957.789,1.650.324,1.517.224,1.334.602,1.232.075,993.153,702.416,598.556,521.156,633.650,691.768,549.909,504.223,581.799,1.325.743
Obrigações Fiscais PC,486.482,782.716,535.681,251.746,302.277,316.129,269.302,264.097,269.168,177.863,177.488,231.861,220.453,397.148,393.747,700.763,303.394,264.536,483.542,318.675,289.221,261.857,285.870,304.095,263.145,254.382,332.130,336.348,288.210,225.363,357.125,325.132,293.606,209.625,277.607,275.991,1.187.480,1.103.502,1.097.731,1.053.184,1.286.048,1.106.517
Empréstimos e Financiamentos PC,5.603.094,4.967.888,5.415.138,5.653.439,6.409.689,5.831.919,5.178.612,6.526.902,3.983.810,3.094.761,1.837.999,2.117.448,1.831.210,1.337.872,1.459.777,1.874.681,940.375,1.553.294,1.745.801,2.790.524,3.657.719,3.547.634,3.460.711,2.642.807,3.366.230,2.934.549,2.665.999,2.295.409,1.989.384,2.431.577,2.626.012,2.702.083,2.348.663,2.204.475,1.999.792,1.308.632,2.755.348,1.416.782,1.006.639,1.191.066,2.370.087,2.942.097
Passivos com Partes Relacionadas PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dividendos e JCP a Pagar PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.055,179.759,472.273,1.562.085,274.801,225.372
Outros PC,2.460.287,1.735.114,2.530.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744.284,612.408,724.979,677.018,528.396,1.164.384
Provisões PC,105.901,111.423,106.140,106.503,97.115,85.205,87.602,105.958,100.068,88.839,100.595,108.607,110.648,124.118,124.397,127.262,133.645,127.974,631.586,550.385,511.082,427.578,377.330,333.519,319.177,320.126,324.887,355.889,302.048,311.009,311.364,306.743,273.237,293.165,271.504,330.425,223.883,220.865,212.459,140.620,140.939,177.987
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,0,0,0,0,0,0,0,0,0,0,0,0,34.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Não Circulante,28.587.143,27.972.798,27.624.485,25.875.532,26.664.511,27.526.328,27.125.563,26.251.692,28.058.141,30.093.871,30.700.276,31.272.419,31.333.687,31.774.542,33.417.720,34.588.742,44.610.810,39.830.376,39.841.006,37.669.188,36.654.387,35.635.995,35.931.587,36.769.247,38.799.880,39.093.932,37.501.227,33.879.640,35.292.942,33.910.368,32.575.576,31.955.583,31.562.856,26.973.487,26.517.398,0,0,0,0,0,18.172.944,13.780.068
