"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - PÃO DE AÇÚCAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Empréstimos e Financiamentos PC,3.073.000,2.342.000,2.016.000,1.855.000,1.820.000,1.388.000,1.251.000,1.418.000,1.486.000,2.231.000,2.957.000,6.993.000,6.114.000,6.005.000,3.814.000,4.247.000,4.773.000,5.830.000,6.594.000,5.625.151,5.057.753,4.259.191,5.171.418,4.748.567,4.575.218,5.047.181,4.211.150,4.711.064,4.600.168,4.653.743,4.917.498,3.495.464,3.487.192,3.432.539,2.977.505,1.311.441,1.306.080,1.107.625,460.549,2.210.286,2.003.381,735.367
Passivos com Partes Relacionadas PC,142.000,159.000,145.000,159.000,144.000,161.000,153.000,167.000,160.000,145.000,147.000,171.000,1.247.000,1.446.000,563.000,1.647.000,1.286.000,924.000,261.000,317.582,23.343,24.515,32.621,34.870,48.942,77.572,81.641,59.527,52.145,87.882,27.878,22.150,12.517,19.909,274.291,94.332,37.086,31.654,31.734,14.568,13.649,13.886
Dividendos e JCP a Pagar PC,32.000,164.000,57.000,98.000,0,78.000,78.000,0,0,0,0,3.000,3.000,2.000,0,1.000,1.000,321.000,321.000,687,1.272,151.654,151.835,99.910,738,168.786,168.798,616,585,103.396,103.396,38,2.130,116.262,116.287,2.981,3.349,96.161,98.052,1.902,2.660,64.429
Outros PC,1.357.000,1.021.000,853.000,479.000,522.000,476.000,614.000,471.000,491.000,519.000,742.000,1.705.000,2.246.000,2.447.000,3.529.000,1.823.000,1.464.000,1.226.000,1.618.000,1.333.368,1.137.384,1.330.020,1.467.733,1.127.218,1.463.413,1.305.063,1.286.283,813.117,801.919,787.716,816.510,868.425,903.530,736.052,1.193.014,1.029.897,964.003,949.714,893.333,1.413.815,463.300,418.588
Provisões PC,0,0,0,9.000,13.000,3.000,3.000,3.000,2.000,3.000,4.000,5.000,8.000,10.000,6.000,8.000,8.000,0,1.000,3.317,4.428,23.389,21.251,1.459,3.312,20.178,24.550,253.207,255.788,185.416,266.084,168.827,135.807,0,0,0,0,0,0,0,0,0
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,0,21.499.001,19.412.001,16.587.000,16.269.000,17.057.000,17.824.000,14.641.000,13.885.000,14.961.000,15.632.000,3.124.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Não Circulante,9.585.000,11.268.000,6.125.000,7.507.000,6.737.000,6.535.000,5.644.000,5.611.000,5.850.000,4.659.000,5.038.000,6.992.000,7.484.000,7.516.000,8.615.999,8.275.000,7.767.000,7.577.000,7.170.000,8.142.700,7.451.903,8.583.908,8.283.634,8.688.227,8.671.560,9.205.310,10.372.890,12.166.054,12.150.958,10.319.666,10.173.378,10.832.744,10.685.409,10.463.224,9.532.080,6.323.194,5.780.325,5.678.742,5.545.824,3.485.897,3.224.933,4.236.740
Empréstimos e Financiamentos PNC,3.125.000,4.197.000,3.509.000,4.930.000,4.171.000,4.102.000,3.337.000,3.340.000,3.649.000,2.569.000,2.912.000,2.376.000,2.894.000,3.120.000,4.164.000,4.389.000,3.849.000,3.532.000,3.134.000,3.936.609,3.394.729,4.524.802,4.321.850,4.741.535,4.653.346,5.123.637,6.281.104,8.256.658,8.210.852,6.322.131,6.240.900,6.890.376,6.685.641,6.123.194,5.591.936,3.963.856,3.433.467,3.380.522,3.664.477,1.736.033,1.666.849,2.685.244
Passivos com Partes Relacionadas PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros PNC,4.967.000,5.217.000,787.000,862.000,877.000,835.000,784.000,853.000,908.000,621.000,608.000,609.000,631.000,640.000,649.000,643.000,704.000,717.000,725.000,1.113.301,1.185.810,1.282.688,1.297.773,1.325.618,1.388.189,1.696.715,1.708.384,1.684.797,1.740.588,1.822.014,1.756.076,1.893.366,1.975.533,1.657.854,1.376.788,2.359.338,2.346.858,2.298.220,1.881.347,1.749.864,1.558.084,1.551.496
