"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - BRASKEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.618,94.127,98.228,102.470
Passivo Total,63.802.503,62.044.279,59.193.983,60.791.128,58.156.073,52.809.155,53.341.553,53.186.367,54.572.130,52.064.723,51.821.851,53.102.821,52.595.450,56.854.917,59.961.295,59.780.895,52.486.975,54.057.570,49.421.750,48.999.842,46.492.164,46.576.476,48.346.083,45.785.416,43.630.944,42.266.771,41.163.575,40.896.643,40.455.959,39.611.183,37.354.160,36.917.666,35.043.885,34.660.860,34.477.490,0,0,0,0,0,0,0
Passivo Circulante,25.322.891,22.539.364,23.116.130,24.288.190,23.078.959,18.108.848,19.137.733,20.779.293,22.634.484,21.545.249,23.038.308,13.396.773,12.511.969,14.469.872,16.682.229,15.628.304,14.108.792,16.340.205,14.083.292,12.801.654,12.596.812,12.952.383,13.594.801,13.939.374,14.903.039,13.446.435,12.656.627,12.479.967,12.215.564,11.257.468,9.061.588,9.597.658,8.440.621,8.337.790,8.462.150,8.368.135,8.362.516,7.467.820,7.290.369,6.020.102,6.550.838,6.975.414
Obrigações Sociais e Trabalhistas PC,509.542,433.970,645.396,605.380,495.750,374.309,630.517,558.578,476.967,376.210,562.455,507.920,412.291,675.049,605.059,552.676,465.905,629.152,533.373,490.611,436.779,559.485,490.816,458.815,329.876,425.585,349.176,314.950,256.403,303.241,242.102,289.549,257.512,406.655,360.368,0,0,0,0,0,0,0
Fornecedores PC,9.114.881,8.246.622,8.341.252,9.383.368,8.257.968,5.667.901,5.265.670,4.810.718,5.257.693,5.070.441,6.545.136,7.165.374,7.781.968,9.046.935,11.698.695,11.420.841,10.818.154,12.802.587,10.852.410,9.566.665,9.766.021,9.959.674,10.421.687,9.715.114,9.843.702,8.701.681,8.897.597,9.016.995,8.838.558,8.944.232,6.847.340,7.059.949,5.757.350,5.214.749,5.201.162,5.240.959,5.963.635,4.582.002,3.823.451,3.702.162,4.181.260,4.409.664
Obrigações Fiscais PC,435.893,532.267,851.325,943.146,1.049.785,962.611,1.261.204,1.327.355,947.680,1.048.893,624.080,1.047.290,594.574,811.383,744.660,719.384,315.735,342.293,203.392,674.058,524.644,473.325,445.424,398.289,425.640,352.837,342.789,472.937,660.258,434.941,329.987,586.275,535.738,396.765,390.062,596.866,460.312,907.406,1.155.396,157.903,115.227,101.587
Empréstimos e Financiamentos PC,2.728.265,690.148,737.436,972.787,1.146.446,577.830,1.184.781,3.528.069,4.216.322,3.011.605,2.594.463,2.093.926,2.644.860,2.261.540,1.968.540,2.168.710,1.924.859,1.876.939,1.418.542,1.308.737,1.329.292,1.224.291,1.248.804,2.492.015,2.796.159,2.383.219,1.836.028,1.287.755,1.385.407,1.243.609,1.391.779,1.399.317,1.651.377,1.630.025,1.724.185,1.759.078,1.326.859,1.390.244,1.820.792,1.671.814,1.850.680,2.025.678
Passivos com Partes Relacionadas PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dividendos e JCP a Pagar PC,671.309,674.807,672.395,4.986,5.100,5.229,3.850,2.559,2.560,3.052,3.083,1.002.082,2.050,753.664,753.668,4.291,4.331,215.882,215.888,4.506,4.533,131.797,131.799,4.050,4.102,4.111,5.369,487.401,487.402,4.825,4.838,4.868,4.877,421.325,419.981,4.883,5.269,1.933,2.863,3.675,4.323,6.756
Outros PC,11.393.611,11.482.131,11.388.667,11.976.610,11.738.711,10.136.705,10.355.687,10.220.273,10.668.757,10.558.085,11.146.311,1.508.516,1.006.617,849.789,817.665,708.025,529.138,421.397,771.140,664.201,442.927,515.792,750.415,709.171,1.345.156,1.434.047,1.063.634,887.490,573.365,310.847,221.913,235.797,209.402,235.344,333.790,747.123,587.578,565.650,487.867,484.548,399.348,431.729
Provisões PC,469.392,479.418,479.659,401.913,385.201,384.262,436.023,331.740,1.064.505,1.374.929,1.467.383,71.665,69.609,71.512,93.942,54.377,50.670,51.955,88.547,92.876,92.616,88.019,105.856,52.150,48.634,35.185,52.264,12.439,14.171,15.773,23.629,21.903,24.365,32.927,32.602,19.226,18.863,20.585,0,0,0,0
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,0,0,0,0,0,0,0,0,0,102.033,95.396,0,0,0,0,0,0,0,0,0,0,0,0,109.770,109.770,109.770,109.770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Não Circulante,30.917.491,31.975.391,30.166.608,30.091.278,30.228.593,27.364.202,28.513.468,25.404.635,26.197.631,25.985.481,27.062.833,35.312.198,35.209.642,38.742.979,41.941.352,42.508.845,33.761.939,34.218.181,29.444.108,28.682.971,25.534.288,25.244.848,27.069.948,23.671.259,20.837.294,19.946.707,19.843.152,19.860.507,19.541.953,18.268.299,18.341.356,17.244.756,15.564.197,15.578.879,15.607.055,0,0,0,0,0,0,0
Empréstimos e Financiamentos PNC,22.922.494,24.822.864,24.427.495,24.260.108,24.579.785,21.614.096,22.462.779,18.489.860,19.385.948,19.635.081,20.736.604,20.930.015,21.036.636,23.117.216,25.370.259,25.717.854,20.811.244,21.249.855,18.918.019,17.762.820,16.482.787,21.481.267,17.353.687,15.671.336,16.157.485,15.723.502,15.675.610,15.734.911,15.307.550,13.513.198,13.772.135,12.829.860,10.655.643,10.906.805,11.004.301,0,0,8.451.626,7.939.293,8.172.195,8.732.178,0
Passivos com Partes Relacionadas PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.961,44.833,68.708,41.223,29.538,31.386,651,634,0,0,0,0,0
