"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - METALÚRGICA GERDAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Passivo Circulante,7.964.919,9.543.682,9.156.188,9.817.638,9.155.147,8.181.701,7.727.031,9.256.690,8.631.011,8.686.302,9.047.092,6.281.231,6.547.743,7.882.220,8.320.413,9.778.000,9.153.499,9.147.175,8.565.490,8.729.627,7.778.004,6.957.216,7.305.656,7.035.824,6.795.523,9.215.254,9.129.488,9.407.845,9.563.453,6.701.052,6.773.928,6.483.496,5.713.290,5.628.033,5.011.638,6.111.718,5.294.153,4.951.546,133.001,18.927,15.928,13.547
Obrigações Sociais e Trabalhistas PC,482.729,406.224,590.110,609.593,509.455,375.714,444.711,469.384,415.961,342.705,465.134,521.139,492.757,431.940,480.430,759.175,659.869,532.923,668.713,779.634,669.274,486.077,655.962,706.760,635.169,460.821,558.634,645.059,627.799,447.880,617.432,595.973,520.702,372.832,476.136,0,0,0,0,0,0,0
Fornecedores PC,3.832.827,4.066.779,4.119.074,4.149.752,4.204.288,3.499.051,3.179.954,3.211.864,3.062.420,3.155.361,2.743.839,2.557.702,2.756.805,3.343.469,3.629.918,4.129.474,3.569.390,3.745.969,3.236.362,3.506.696,3.447.856,3.184.041,3.271.449,3.289.286,3.302.741,3.020.757,3.059.814,3.325.656,3.527.407,3.228.728,3.212.278,3.171.304,2.817.546,2.387.751,1.783.390,2.007.798,2.315.513,2.180.336,65,2,3,3
Obrigações Fiscais PC,546.534,911.088,765.013,614.163,528.291,450.513,354.542,451.286,316.699,381.551,416.049,401.313,403.345,414.590,526.544,554.992,635.629,666.654,803.497,731.945,620.877,832.775,671.316,621.919,621.330,662.983,534.631,600.483,658.280,649.547,594.532,549.438,602.531,640.961,526.732,708.556,706.496,713.964,21.268,1.084,1.431,371
Empréstimos e Financiamentos PC,2.122.757,3.184.456,2.473.789,2.841.377,2.730.270,2.182.441,2.016.100,4.502.890,4.204.205,4.226.440,4.493.944,2.307.795,2.355.533,2.885.509,2.807.746,3.474.053,3.608.763,3.428.967,2.843.706,2.083.632,1.395.425,1.802.609,1.901.679,1.844.539,1.826.638,4.656.967,3.888.232,4.420.817,4.276.945,1.953.287,1.760.780,1.636.297,1.292.466,1.742.920,1.683.865,2.482.977,1.488.826,1.360.789,11.653,11.481,11.311,11.139
Passivos com Partes Relacionadas PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,5.325,1.967,752
Dividendos e JCP a Pagar PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.790,0,0,0,39.700,0,0,0,124.894,0,0,0,84.323,39.201,16.626,48.173,97.427,0,0,0
Outros PC,919.099,910.033,1.147.626,1.563.664,1.152.978,1.650.764,1.709.543,603.144,612.829,560.734,909.980,469.256,514.874,765.585,829.504,799.234,625.727,713.733,955.969,1.557.679,1.578.039,590.689,637.275,499.231,338.563,347.172,970.011,387.063,445.657,398.131,432.214,502.558,457.894,466.180,428.001,873.186,766.692,648.284,1.836,1.035,1.216,1.282
Provisões PC,60.973,65.102,60.576,39.089,29.865,23.218,22.181,18.122,18.897,19.511,18.146,24.026,24.429,41.127,46.271,61.072,54.121,58.929,57.243,70.041,66.533,61.025,65.185,74.089,71.082,66.553,78.466,28.767,27.365,23.479,31.798,27.926,22.151,17.389,29.191,0,0,0,0,0,0,0
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
