"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - MRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Passivo Total,14.295.198,13.879.007,13.636.891,14.877.491,14.146.798,14.397.838,14.558.500,14.252.282,13.210.175,13.207.493,12.327.013,11.822.833,11.633.611,11.725.342,11.392.309,11.119.006,11.195.017,11.070.750,10.817.175,10.383.298,10.047.603,9.920.522,10.198.449,10.302.457,10.027.929,9.917.816,11.108.742,10.813.218,10.324.181,9.565.878,9.160.646,8.701.301,7.593.869,7.338.828,6.791.338,6.346.734,5.681.510,5.312.399,4.358.965,3.986.537,3.593.768,2.940.425
Passivo Circulante,3.025.982,2.493.538,2.641.253,2.797.986,2.780.400,3.164.698,3.249.980,2.703.280,2.902.846,2.968.415,2.924.359,3.103.444,3.198.908,3.139.889,3.050.474,2.700.841,2.894.847,2.873.294,3.006.092,2.604.076,2.090.024,2.389.426,2.560.666,2.475.276,2.690.053,3.073.058,3.645.906,3.233.000,2.927.037,2.968.260,2.648.575,2.255.651,1.885.045,1.848.618,1.822.378,1.782.256,1.561.246,1.340.515,1.194.473,860.377,703.316,608.301
Obrigações Sociais e Trabalhistas PC,157.482,162.632,140.279,164.657,139.472,137.784,116.891,138.955,126.886,122.566,110.068,127.860,119.276,117.599,109.618,142.099,133.548,133.420,122.854,129.832,95.122,114.896,91.912,91.852,86.215,100.214,101.021,120.310,101.852,110.926,94.306,99.678,80.113,80.897,73.058,0,0,0,0,0,0,0
Fornecedores PC,438.981,435.681,379.989,347.799,270.255,299.639,304.983,315.093,277.953,314.761,315.109,310.094,307.952,246.502,254.335,263.397,294.123,242.559,241.888,251.334,236.866,174.270,187.781,223.050,228.743,161.723,251.893,237.652,240.836,256.770,249.619,257.357,199.092,161.423,154.501,132.793,125.376,96.639,96.514,70.713,40.815,47.456
Obrigações Fiscais PC,72.000,69.699,73.149,72.763,64.374,59.428,61.504,56.313,57.616,51.932,57.318,44.119,42.441,46.182,55.844,46.827,50.028,45.812,50.290,70.666,53.371,32.801,48.445,49.722,52.111,52.984,64.336,49.665,52.852,50.424,48.413,44.692,36.181,46.514,55.940,40.026,30.704,19.514,10.995,6.933,10.835,10.980
Empréstimos e Financiamentos PC,438.987,423.133,415.527,741.600,721.987,852.546,841.824,597.719,782.092,1.023.447,937.050,1.104.765,1.192.836,1.188.476,1.118.678,874.084,1.014.267,853.301,993.083,990.661,568.145,599.322,774.692,871.980,935.505,891.063,1.004.189,977.502,884.038,791.564,532.489,544.310,536.080,561.804,544.506,490.271,496.952,372.377,303.592,246.284,166.143,106.302
Passivos com Partes Relacionadas PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.477,39.258,49.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dividendos e JCP a Pagar PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151.849,64.892,0,0,82.513,82.513,0,51.322,51.322
Outros PC,1.882.227,1.362.974,1.589.745,1.425.448,1.543.751,1.771.075,1.875.753,1.555.122,1.619.477,1.413.791,1.464.483,1.476.396,1.495.207,1.500.612,1.474.832,1.298.072,1.327.350,1.512.632,1.564.244,1.128.325,1.102.660,1.434.451,1.424.983,1.206.529,1.356.363,1.853.360,2.203.533,1.829.749,1.636.061,1.741.169,1.708.853,1.297.773,1.022.840,837.656,921.234,1.111.557,901.713,763.844,696.857,525.438,429.831,389.013
Provisões PC,36.305,39.419,42.564,45.719,40.561,44.226,49.025,40.078,38.822,41.918,40.331,40.210,41.196,40.518,37.167,36.885,36.273,35.967,33.733,33.258,33.860,33.686,32.853,32.143,31.116,13.714,20.934,18.122,11.398,17.407,14.895,11.841,10.729,8.475,8.247,7.609,6.501,5.628,4.002,11.009,4.370,3.228
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Não Circulante,6.303.151,6.317.918,6.121.052,6.078.565,5.531.490,5.429.637,5.511.399,5.781.005,4.732.878,4.825.543,3.965.167,3.282.428,3.149.624,3.420.191,3.291.962,3.371.437,3.394.639,3.465.529,3.138.165,3.017.953,3.304.850,3.109.900,3.272.383,3.417.735,3.037.146,2.662.555,3.374.863,3.502.660,3.480.603,2.807.465,2.841.982,2.829.531,2.284.272,2.267.048,1.916.210,1.510.424,1.313.605,1.321.750,647.968,671.138,607.917,636.604
Empréstimos e Financiamentos PNC,2.597.812,2.528.369,2.447.491,2.545.983,2.399.830,2.512.397,2.630.521,2.892.665,2.207.072,2.254.970,1.376.590,1.000.596,927.139,1.112.903,1.130.973,1.414.478,1.546.690,1.778.000,1.508.947,1.576.766,2.089.442,2.087.680,2.243.031,2.351.732,2.137.314,2.050.974,2.678.645,2.608.514,2.591.007,2.089.418,2.144.517,2.127.116,1.599.041,1.622.363,1.394.837,1.101.577,935.363,1.002.268,482.865,503.848,500.780,492.309
Passivos com Partes Relacionadas PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.186,50.000,54.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros PNC,3.461.678,3.557.076,3.452.521,3.304.440,2.896.601,2.678.466,2.647.968,2.648.329,2.289.917,2.335.118,2.351.052,2.054.602,2.004.094,2.083.816,1.928.558,1.701.404,1.580.952,1.439.587,1.441.995,1.255.753,1.033.236,838.891,854.290,881.177,719.866,410.304,426.711,385.947,400.157,239.970,227.733,269.235,293.012,287.955,185.398,355.157,336.029,285.303,136.595,150.520,85.820,127.908
Tributos Diferidos PNC,38.515,36.208,34.128,34.485,38.539,38.026,41.551,41.323,40.699,39.334,40.126,34.402,35.418,39.079,42.123,45.812,55.728,44.741,48.403,57.361,62.286,66.900,61.671,68.010,65.247,73.046,84.984,315.196,313.342,323.110,332.596,318.695,295.986,273.177,264.395,0,0,0,0,0,0,0
Adiantamento para Futuro Aumento Capital PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provisões PNC,205.146,196.265,186.912,193.657,196.520,200.748,191.359,198.688,195.190,196.121,197.399,192.828,182.973,184.393,190.308,168.557,161.269,148.606,138.820,128.073,119.886,116.429,113.391,116.816,114.719,128.231,184.523,193.003,176.097,154.967,137.136,114.485,96.233,83.553,71.580,53.690,42.213,34.179,28.508,16.770,21.317,16.387
