target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Tributos a Recuperar AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo,Contas a Receber ACLP,Tributos Diferidos ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Outros PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Outros PNC,Tributos Diferidos PNC,Provisões PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Lucros,Lucros/Prejuízos Acumulados
Bad,18.559999465942386,13.31999969482422,18.549999237060547,14.520000457763672,136962600.0,13.866963704427086,57553674.0,18202141.0,1870899.0,1649039.0,4806942.0,8688879.0,1185544.0,837.0,4134319.4404995223,211561.0,1972732.0,1839031.0,1554272.0,21241969.0,12442542.0,57553674.0,6903515.0,486077.0,3183218.0,827665.0,1755807.0,589723.0,19006849.0,15003582.0,532806.0,1103727.0,2366734.0,1682298.0,29961014.0,19249181.0,-223797.0,10738413.0,397224.0
Bad,10.0,7.96999979019165,8.239999771118164,9.039999961853027,68036266.66666667,7.94024387995402,6777628.0,1325556.0,800034.0,62351.0,137671.0,1156123.0168937498,59579.0,246012.0,4141606.9767814605,4481.594255414392,368242.0,196153.0,1017.0,588124.0,4298409.0,6777628.0,1993355.0,53885.0,51457.0,34706.0,1330178.0,38561.0,4219479.0,3743000.0,42758.0,19964.0,413757.0,71513.0,493281.0,360900.0,26800.0,7791.0,97790.0
Bad,20.36000061035156,13.699999809265135,14.050000190734865,19.25,101920000.0,17.414205233256027,25099080.0,15506876.0,2838302.0,5646269.0,1402338.0,3659789.0,770407.0,1120654.0,4129884.685307188,437662.0267043632,939552.0,1821796.0,3425832.010478254,3114786.0,3668316.0,25099080.0,7646258.0,114824.0,2919350.0,126044.0,4130374.0,20281.0,11517989.0,11242129.0,19646.0,1088786.1375226898,256214.0,1494328.0,4440504.0,3924055.0,59456.0,480729.0,-47096.0
Bad,12.504799842834473,9.898409843444824,11.034899711608887,11.33650016784668,118098725.66666669,9.050461769104004,5686372.0,2009762.0,1373197.0,721743.2053192495,430848.0,856534.6346671922,11687.0,154210.0,4133608.985643097,2481.0,33976.0,221624.0,102159.1631922291,3335764.0,82765.0,5686372.0,1251976.0,104293.0,555930.0,40647.0,407650.0,79788.0,2699643.0,2458992.0,13882.0,147288.0,71280.0,197543.35849928568,1734753.0,976708.0,41706.0,638368.0,77971.0
Bad,13.420000076293945,9.09000015258789,9.09000015258789,10.850000381469727,131365766.66666669,9.430002212524414,43778163.0,12149265.0,4315796.0,734688.0,1931081.0,4259964.0,658956.9075664337,907736.0,4130658.53651232,169363.02024627526,88050.0,1703152.0,4652783.0,17921071.0,7263844.0,43778163.0,5407953.0,251521.0,1934358.0,177488.0,1837999.0,2271829.4458420486,30700276.0,27688593.0,3768222.565622092,1084701.0,1798679.0,1221987.0,6447950.0,4540000.0,30.0,2641567.572797736,-1216331.0
Bad,15.364500045776367,10.996700286865234,13.551799774169922,11.40470027923584,86409204.33333333,10.93534723917643,18820850.0,943410.0,70509.0,374370.0,320499.0,580496.8328642102,100701.0,75081.0,4142642.5488591855,203691.0,82117.0,45695.0,17235268.0,10191.0,16360.0,18820850.0,1397128.0,69169.0,84892.0,39884.0,766580.0,248010.0,7956466.0,3956500.0,654903.0,3280145.0,64536.0,677137.0,8790119.0,4293342.0,50588.0,4446189.0,-6425.35179076211
Bad,9.4399995803833,5.829999923706055,6.050000190734862,8.539999961853027,93368200.0,8.1866668065389,23823440.0,9359113.0,1076820.0,2400140.0,1302906.0,2526827.0,1025496.0,315755.0,4132738.5872226097,2092244.270012051,1443536.0,1336659.0,13195.0,7315085.0,4354956.0,23823440.0,6673099.0,483685.0,2783120.0,171246.0,2517245.0,703338.0,13731128.0,9162817.0,2963910.0,1415676.0,188725.0,164813.0,3254401.0,3986518.0,-19222.0,38122.0,-1259861.0
Bad,18.96999931335449,15.539999961853027,16.350000381469727,18.479999542236328,236088266.66666663,16.001094818115234,75101184.0,19241015.0,6974585.0,1033758.0,2897700.0,4377889.0,1394295.0,1861428.0,5859775.0,23295.856814438135,2791228.0,2883485.0,146156.0,16542042.0,33312197.0,75101184.0,21767887.0,615576.0,8199044.0,3042100.0,994518.0,8276886.0,7220915.0,1696525.0,3051086.0,1896973.0,576331.0,1794362.0,44318021.0,57614139.0,54986125.0,2904091.0,1867697.0
Bad,14.699999809265135,12.800000190734865,14.640000343322756,12.9399995803833,109688866.66666669,12.002905527750649,57893655.0,18822207.0,2628061.0,1334535.0,4669931.0,9006486.0,1183194.0,61657.33549526572,4145681.670306911,209849.0,1912157.0,2138657.0,1514519.0,21084654.0,12134586.0,57893655.0,6674808.0,669264.0,3447821.0,613491.0,1298542.0,579157.0,19512801.0,15415187.0,636344.0,1053753.0,2407518.0,1710309.0,29995740.0,19249181.0,-223311.0,10738342.0,634360.0
Bad,58.27000045776367,45.83000183105469,55.04999923706055,48.25,43246166.66666666,51.100001017252595,42944938.0,18893738.0,6356919.0,622285.0,3234129.0,4791640.0,1234795.0,1009031.0,4162870.149121421,197225.0,1103146.0,2828279.0,58683.0,11746238.0,6672554.0,42944938.0,12640423.0,296766.0,7175420.0,319620.0,3245004.0,934408.0,18085161.0,15717376.0,850552.0,156179.0,1361053.0,379375.0,11839978.0,12460471.0,-680850.0,1350675.0,4103.154711371767
